eu_sdg,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
15_42,KM2,Drought impact area,KM2,Square kilometre,EU27_2020,European Union - 27 countries (from 2020),2023,143500.26,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2000,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2001,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2002,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2003,199,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2004,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2005,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2006,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2007,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2008,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2009,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2010,3,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2011,2263,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2012,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2013,79,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2014,3,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2015,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2016,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2017,2574,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2018,3530,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2019,1427,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2020,11740,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2021,2,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2022,17350,
15_42,KM2,Drought impact area,KM2,Square kilometre,BE,Belgium,2023,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2000,56150,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2001,48896,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2002,9231,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2003,13737,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2004,280,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2005,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2006,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2007,10138,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2008,383,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2009,2406,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2010,1,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2011,253,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2012,1844,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2013,164,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2014,2,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2015,7,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2016,9,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2017,3309,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2018,20,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2019,141,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2020,10265,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2021,886,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2022,3919,
15_42,KM2,Drought impact area,KM2,Square kilometre,BG,Bulgaria,2023,2741,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2000,7910,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2001,2080,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2002,2400,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2003,17145,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2004,2265,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2005,9,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2006,35,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2007,3575,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2008,7,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2009,5,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2010,2,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2011,28,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2012,4356,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2013,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2014,168,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2015,4806,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2016,15,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2017,3893,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2018,20717,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2019,7975,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2020,1366,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2021,24,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2022,4587,
15_42,KM2,Drought impact area,KM2,Square kilometre,CZ,Czechia,2023,212,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2000,104,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2001,3,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2002,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2003,164,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2004,291,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2005,185,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2006,156,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2007,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2008,577,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2009,615,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2010,11,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2011,85,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2012,28,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2013,621,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2014,42,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2015,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2016,8,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2017,4,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2018,19698,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2019,1347,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2020,337,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2021,513,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2022,3657,
15_42,KM2,Drought impact area,KM2,Square kilometre,DK,Denmark,2023,733,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2000,156,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2001,41,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2002,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2003,48367,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2004,1820,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2005,33,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2006,125,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2007,137,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2008,6,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2009,236,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2010,4,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2011,10347,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2012,1384,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2013,6,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2014,795,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2015,5454,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2016,325,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2017,1774,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2018,70421,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2019,62550,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2020,54655,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2021,345,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2022,64136,
15_42,KM2,Drought impact area,KM2,Square kilometre,DE,Germany,2023,813,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2000,103,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2001,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2002,4220,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2003,1221,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2004,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2005,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2006,31571,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2007,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2008,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2009,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2010,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2011,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2012,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2013,4,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2014,1,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2015,153,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2016,143,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2017,165,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2018,13593,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2019,3388,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2020,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2021,3919,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2022,2044,
15_42,KM2,Drought impact area,KM2,Square kilometre,EE,Estonia,2023,6721,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2000,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2001,1,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2002,1,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2003,1123,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2004,9,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2005,1,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2006,188,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2007,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2008,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2009,2,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2010,3,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2011,1,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2012,1,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2013,660,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2014,186,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2015,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2016,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2017,23,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2018,987,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2019,23,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2020,37,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2021,241,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2022,4956,
15_42,KM2,Drought impact area,KM2,Square kilometre,IE,Ireland,2023,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2000,30841,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2001,15422,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2002,478,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2003,67,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2004,13,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2005,22,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2006,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2007,13043,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2008,6888,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2009,165,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2010,1033,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2011,99,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2012,5572,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2013,616,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2014,201,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2015,14,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2016,9335,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2017,5639,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2018,3407,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2019,702,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2020,1670,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2021,8630,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2022,7294,
15_42,KM2,Drought impact area,KM2,Square kilometre,EL,Greece,2023,1987,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2000,17631,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2001,6874,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2002,12161,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2003,5970,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2004,19,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2005,150095,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2006,8673,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2007,851,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2008,4660,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2009,38108,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2010,779,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2011,8221,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2012,156589,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2013,113,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2014,16744,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2015,9365,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2016,22788,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2017,27812,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2018,1801,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2019,29704,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2020,134,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2021,3725,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2022,56776,
15_42,KM2,Drought impact area,KM2,Square kilometre,ES,Spain,2023,34266,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2000,69,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2001,275,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2002,3420,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2003,93871,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2004,1938,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2005,14731,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2006,1183,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2007,1529,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2008,2939,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2009,1280,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2010,6047,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2011,62740,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2012,9885,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2013,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2014,564,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2015,346,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2016,2212,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2017,22530,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2018,977,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2019,52533,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2020,41617,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2021,1700,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2022,240140,
15_42,KM2,Drought impact area,KM2,Square kilometre,FR,France,2023,10368,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2000,6305,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2001,16,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2002,60,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2003,18516,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2004,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2005,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2006,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2007,224,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2008,2,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2009,62,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2010,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2011,3741,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2012,18344,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2013,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2014,2,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2015,472,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2016,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2017,4637,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2018,14,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2019,37,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2020,1073,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2021,1725,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2022,17779,
15_42,KM2,Drought impact area,KM2,Square kilometre,HR,Croatia,2023,31,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2000,17617,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2001,14732,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2002,26467,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2003,12427,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2004,726,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2005,1782,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2006,4980,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2007,17228,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2008,12114,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2009,951,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2010,864,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2011,3893,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2012,27877,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2013,590,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2014,663,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2015,2342,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2016,6543,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2017,50081,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2018,2401,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2019,1730,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2020,4729,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2021,11187,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2022,53925,
15_42,KM2,Drought impact area,KM2,Square kilometre,IT,Italy,2023,5432,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2000,56,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2001,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2002,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2003,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2004,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2005,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2006,50,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2007,5,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2008,3712,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2009,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2010,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2011,7,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2012,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2013,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2014,4437,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2015,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2016,4214,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2017,488,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2018,593,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2019,0,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2020,2,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2021,573,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2022,251,
15_42,KM2,Drought impact area,KM2,Square kilometre,CY,Cyprus,2023,63,
